Date,Close,Open,High,Low,Volume,Change
2017-05-08,36.62,36.62,36.62,36.62,0,0.0072
2017-05-09,36.79,36.84,36.84,36.79,0,0.0046
2017-05-10,36.62,36.62,36.62,36.62,0,-0.0046
2017-05-11,36.66,36.67,36.67,36.66,0,0.0011
2017-05-12,36.55,36.57,36.57,36.55,0,-0.003
2017-05-15,36.76,36.68,36.76,36.68,0,0.0057
2017-05-16,36.78,36.78,36.78,36.78,0,0.0005
2017-05-17,36.55,36.55,36.55,36.55,0,-0.0063
2017-05-18,35.76,35.76,35.76,35.76,0,-0.0216
2017-05-22,36.29,36.29,36.29,36.29,0,0.0148
2017-05-31,36.3,36.3,36.3,36.3,0,0.0003
2017-06-01,36.2,36.2,36.2,36.2,0,-0.0028
2017-06-05,36.47,36.47,36.47,36.47,0,0.0075
2017-06-08,36.26,36.26,36.26,36.26,0,-0.0058
2017-06-15,35.58,35.58,35.58,35.58,0,-0.0188
2017-06-16,35.73,35.73,35.73,35.73,0,0.0042
2017-06-22,35.76,35.76,35.76,35.76,0,0.0008
2017-07-03,35.22,35.22,35.22,35.22,0,-0.0151
2017-07-11,35.16,35.19,35.21,35.16,0,-0.0017
2017-07-12,35.16,35.21,35.21,35.16,0,0
2017-07-14,35.64,35.7,35.7,35.64,0,0.0137
2017-07-17,35.69,35.62,35.69,35.62,0,0.0014
2017-07-18,35.52,35.51,35.52,35.51,0,-0.0048
2017-07-25,35.32,35.34,35.34,35.32,0,-0.0056
2017-07-31,35.18,35.18,35.18,35.18,0,-0.004
2017-08-11,34.44,34.44,34.44,34.44,0,-0.021
2017-08-25,34.95,34.95,34.95,34.95,0,0.0148
2017-08-29,34.18,34.13,34.18,34.13,0,-0.022
2017-09-11,35.24,35.24,35.24,35.24,0,0.031
2017-09-12,35.62,35.62,35.62,35.62,0,0.0108
2017-09-13,35.62,35.62,35.62,35.62,0,0
2017-09-21,35.34,35.28,35.34,35.28,0,-0.0079
2017-09-22,35.35,35.35,35.35,35.35,0,0.0003
2017-09-26,35.2,35.2,35.2,35.2,0,-0.0042
2017-10-02,35.83,35.83,35.83,35.83,0,0.0179
2017-10-12,35.94,35.93,35.94,35.93,0,0.0031
2017-10-16,36.01,36.01,36.01,36.01,0,0.0019
2017-10-23,35.97,35.97,35.97,35.97,0,-0.0011
2017-10-24,36.1,36.1,36.1,36.1,0,0.0036
2017-10-25,36.05,36.05,36.05,36.05,0,-0.0014
2017-10-26,36.08,35.82,36.08,35.82,0,0.0008
2017-11-07,36.68,36.72,36.72,36.68,0,0.0166
2017-11-08,36.44,36.44,36.44,36.44,0,-0.0065
2017-11-13,35.56,35.56,35.56,35.56,0,-0.0241
2017-11-24,35.8,35.8,35.8,35.8,0,0.0067
2017-11-30,35.73,35.73,35.73,35.73,0,-0.002
2017-12-01,35.51,35.51,35.51,35.51,0,-0.0062
2017-12-04,35.56,35.56,35.56,35.56,0,0.0014
2017-12-05,35.66,35.66,35.66,35.66,0,0.0028
2017-12-12,35.83,35.83,35.83,35.83,0,0.0048
2017-12-13,35.88,35.94,35.98,35.88,53880,0.0014
2017-12-18,35.9,35.9,35.9,35.9,0,0.0006
2017-12-19,35.94,36.02,36.02,35.94,33080,0.0011
2017-12-20,35.44,35.4,35.44,35.4,490,-0.0139
2017-12-21,35.59,35.59,35.59,35.59,0,0.0042
2018-01-02,34.7,34.7,34.7,34.7,0,-0.025
2018-01-04,35.58,35.2,35.58,35.2,149090,0.0254
2018-01-05,35.85,35.73,35.85,35.73,76630,0.0076
2018-01-08,36.01,36.01,36.01,36.01,0,0.0045
2018-01-10,36.06,36.06,36.06,36.06,0,0.0014
2018-01-11,35.85,36.04,36.04,35.85,119870,-0.0058
2018-01-15,36.02,36.02,36.02,36.02,0,0.0047
2018-01-16,36.25,36.26,36.26,36.25,310010,0.0064
2018-01-18,36.05,36.05,36.05,36.05,0,-0.0055
2018-01-19,36.16,36.16,36.16,36.16,0,0.0031
2018-01-22,36.51,36.51,36.51,36.51,0,0.0097
2018-01-23,36.6,36.67,36.67,36.6,53630,0.0025
2018-01-24,36.62,36.62,36.62,36.62,0,0.0005
2018-01-25,36.15,36.15,36.15,36.15,0,-0.0128
2018-01-26,36.38,36.38,36.38,36.38,0,0.0064
2018-01-29,36.34,36.34,36.34,36.34,0,-0.0011
2018-01-30,36.01,36.2,36.2,36.01,1220000,-0.0091
2018-02-02,35.37,35.51,35.51,35.37,6680,-0.0178
2018-02-06,34.06,33.82,34.75,33.82,1150000,-0.037
2018-02-07,34.22,34.22,34.22,34.22,0,0.0047
2018-02-08,34.12,34.51,34.51,34.12,152860,-0.0029
2018-02-09,33.39,33.58,33.58,33.39,26410,-0.0214
2018-02-12,33.59,33.75,33.75,33.59,40320,0.006
2018-02-13,33.43,33.43,33.43,33.43,12100,-0.0048
2018-02-14,33.18,33.18,33.18,33.18,0,-0.0075
2018-02-16,34.25,34.25,34.25,34.25,0,0.0322
2018-02-19,34.13,34.13,34.13,34.13,0,-0.0035
2018-02-21,34.09,34.09,34.09,34.09,0,-0.0012
2018-02-22,34.31,33.99,34.31,33.99,53800,0.0065
2018-02-23,34.26,34.26,34.26,34.26,0,-0.0015
2018-02-26,34.55,34.56,34.56,34.55,5050,0.0085
2018-02-27,34.54,34.68,34.68,34.54,316000,-0.0003
2018-03-01,33.98,34.33,34.33,33.98,300800,-0.0162
2018-03-02,33.37,33.37,33.37,33.37,0,-0.018
2018-03-05,33.47,33.2,33.47,33.2,125480,0.003
2018-03-06,33.79,33.77,33.79,33.77,59700,0.0096
2018-03-07,33.4,33.4,33.4,33.4,0,-0.0115
2018-03-12,34.23,34.28,34.31,34.23,267960,0.0249
2018-03-13,34.36,34.36,34.36,34.36,0,0.0038
2018-03-14,33.88,33.98,33.98,33.83,79350,-0.014
2018-03-20,34.03,34.03,34.03,34.03,0,0.0044
2018-03-26,33.03,33.02,33.03,33.02,677360,-0.0294
2018-03-27,33.17,33.17,33.17,33.17,0,0.0042
2018-03-28,33,33.17,33.17,32.84,3070000,-0.0051
2018-04-04,33.38,33.38,33.38,33.38,0,0.0115
2018-04-05,34,34,34,34,0,0.0186
2018-04-06,34.12,34.1,34.13,34.1,7540,0.0035
2018-04-10,34.43,34.4,34.43,34.4,235930,0.0091
2018-04-11,34.23,34.23,34.23,34.23,0,-0.0058
2018-04-17,34.92,34.79,34.92,34.79,750,0.0202
2018-04-18,34.97,34.96,34.98,34.91,88890,0.0014
2018-04-20,34.97,34.97,34.97,34.97,0,0
2018-04-23,35.1,35.09,35.1,35.09,3610,0.0037
2018-04-24,35.23,35.23,35.23,35.23,0,0.0037
2018-04-25,34.86,34.86,34.86,34.86,0,-0.0105
2018-04-26,35.07,34.95,35.07,34.95,35030,0.006
2018-04-27,35.36,35.4,35.4,35.36,247340,0.0083
2018-04-30,35.41,35.41,35.41,35.41,0,0.0014
2018-05-02,35.75,35.75,35.75,35.75,0,0.0096
2018-05-04,35.74,35.72,35.74,35.72,181400,-0.0003
2018-05-08,35.85,35.97,35.97,35.85,26290,0.0031
2018-05-09,35.98,35.98,35.98,35.98,0,0.0036
2018-05-10,35.99,35.98,36.01,35.98,58200,0.0003
2018-05-11,36.09,36.06,36.09,36.03,1220,0.0028
2018-05-15,35.99,36,36.11,35.99,1370000,-0.0028
2018-05-16,36.05,36.05,36.05,36.05,0,0.0017
2018-05-18,36.18,36.18,36.18,36.18,0,0.0036
2018-05-24,35.98,36.09,36.09,35.98,32020,-0.0055
2018-05-25,35.74,35.74,35.74,35.74,0,-0.0067
2018-05-29,34.99,34.69,35.01,34.69,15040,-0.021
2018-05-31,34.94,35.21,35.21,34.94,3010,-0.0014
2018-06-01,35.34,35.34,35.34,35.34,0,0.0114
2018-06-04,35.26,35.26,35.26,35.26,0,-0.0023
2018-06-07,35.35,35.59,35.59,35.35,176640,0.0026
2018-06-08,35.06,35.03,35.06,35.03,8740,-0.0082
2018-06-12,35.55,35.58,35.58,35.55,6120,0.014
2018-06-14,36.06,36.06,36.06,36.06,0,0.0143
2018-06-15,35.65,35.78,35.78,35.65,311670,-0.0114
2018-06-19,34.79,34.69,34.79,34.69,57060,-0.0241
2018-06-20,35.03,35.03,35.03,35.03,0,0.0069
2018-06-25,34.51,34.49,34.58,34.49,8400,-0.0148
2018-06-26,34.39,34.39,34.39,34.39,0,-0.0035
2018-06-27,34.57,34.16,34.57,34.16,765540,0.0052
2018-06-28,34.05,34.23,34.31,34.05,590290,-0.015
