Date,Close,Open,High,Low,Volume,Change
1997-01-20,1364.28,1351.14,1365.62,1349.04,0.0,0.0113
1997-01-21,1376.97,1363.44,1377.49,1360.61,0.0,0.009300000000000001
1997-01-22,1388.06,1377.85,1388.06,1373.3,0.0,0.008100000000000001
1997-01-23,1378.37,1393.15,1400.53,1378.23,0.0,-0.006999999999999999
1997-01-24,1363.83,1375.6,1379.95,1360.48,0.0,-0.0105
1997-01-27,1352.81,1367.41,1368.0,1352.18,0.0,-0.008100000000000001
1997-01-28,1354.37,1365.91,1370.69,1349.28,0.0,0.0012
1997-01-29,1355.17,1359.32,1360.76,1349.54,0.0,0.0006
1997-01-30,1371.02,1362.05,1371.03,1355.16,0.0,0.011699999999999999
1997-01-31,1379.85,1374.98,1381.97,1371.01,0.0,0.0064
1997-02-03,1376.05,1383.97,1384.51,1374.57,0.0,-0.0028000000000000004
1997-02-04,1373.75,1376.7,1377.78,1362.81,0.0,-0.0017000000000000001
1997-02-05,1348.44,1373.95,1375.05,1339.64,0.0,-0.0184
1997-02-06,1346.4,1351.11,1351.71,1340.54,0.0,-0.0015
1997-02-07,1357.71,1354.91,1360.53,1346.29,0.0,0.0084
1997-02-10,1335.34,1360.46,1362.21,1335.33,0.0,-0.0165
1997-02-11,1331.51,1342.11,1342.71,1319.69,0.0,-0.0029
1997-02-12,1358.96,1337.48,1359.0,1331.63,0.0,0.0206
1997-02-13,1370.81,1364.52,1373.75,1358.95,0.0,0.0087
1997-02-14,1367.19,1370.25,1373.04,1364.24,0.0,-0.0026
1997-02-18,1365.79,1369.16,1371.2,1358.05,0.0,-0.001
1997-02-19,1365.58,1366.34,1370.43,1362.37,0.0,-0.0002
1997-02-20,1347.4,1362.62,1365.62,1345.62,0.0,-0.013300000000000001
1997-02-21,1334.32,1346.46,1347.77,1332.05,0.0,-0.0097
1997-02-24,1345.08,1328.4,1345.34,1325.16,0.0,0.008100000000000001
1997-02-25,1347.69,1349.81,1355.67,1342.68,0.0,0.0019
1997-02-26,1340.55,1350.17,1351.97,1333.24,0.0,-0.0053
1997-02-27,1312.66,1339.62,1340.95,1312.59,0.0,-0.0208
